finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
91,56,70,20,34,-2.79,86.01,54.97,-65.5,39.34,19.41,0.47,9.65,0.67,-0.07,0.04,0.03,9.54,2.76,3.36,-0.07,0,0.01
91,56,42,40,37,-2.56,85.12,62.32,-65.89,37.29,19.59,0.43,9.67,0.83,-0.08,0.02,0.03,9.59,2.6,3.41,-0.08,-0.01,0.02
91,56,62,58,36,-1.58,85.72,69.7,-65.57,37.48,19.82,0.27,9.61,0.72,-0.11,0.03,0.04,9.48,2.62,3.42,-0.09,-0.04,0.04
91,56,42,47,49,-2.17,86.41,58.8,-65.3,37.81,19.97,0.36,9.39,0.59,-0.1,0,0.03,9.3,2.62,3.38,-0.1,-0.03,0.03
91,56,26,65,42,-1.85,86.08,64.74,-65.32,37.93,19.93,0.3,9.33,0.64,-0.11,0,0.04,9.27,2.62,3.36,-0.1,-0.06,0.02
91,56,10,40,31,-2.48,86.62,53.66,-64.87,38.24,20.23,0.4,9.21,0.54,-0.06,-0.02,0.04,9.2,2.67,3.39,-0.09,-0.03,-0.01
91,56,8,24,22,-2.72,84.87,62.03,-66,39.14,19.05,0.45,9.44,0.85,-0.06,0.01,0.03,9.31,2.62,3.22,-0.11,-0.03,0
91,56,2,4,27,-3.64,86.64,42.68,-65.74,40.7,18.86,0.58,9.18,0.54,-0.06,-0.01,0.04,9.17,2.69,3.13,-0.1,-0.05,-0.02
91,56,14,0,22,-4.11,86.6,39.48,-65.76,41.32,18.69,0.67,9.24,0.55,-0.03,0.01,0.06,9.24,2.75,3.13,-0.08,-0.05,-0.05
91,56,14,13,31,-3.92,85.1,51.24,-66.79,40.04,18.18,0.65,9.5,0.81,-0.04,0.02,0.06,9.55,2.63,3.13,-0.07,-0.03,-0.03
91,56,34,29,48,-3.6,86.44,44.65,-65.78,41.35,18.66,0.59,9.35,0.58,-0.03,0.03,0.05,9.34,2.77,3.15,-0.05,-0.01,-0.03
91,56,22,24,31,-3.58,86.03,47.94,-66.3,39.85,18.62,0.6,9.51,0.66,-0.04,0.06,0.04,9.54,2.68,3.22,-0.04,0,-0.02
91,56,2,27,40,-2.57,85.6,59.73,-66.05,38.97,19.05,0.43,9.48,0.73,-0.05,0.08,0.03,9.44,2.64,3.26,-0.04,0.03,0.02
91,56,-10,36,36,-2.75,86.1,54.71,-65.53,39.18,19.43,0.45,9.38,0.64,-0.05,0.06,0.02,9.33,2.68,3.29,-0.04,0.02,0.01
91,56,0,4,36,-2.38,85.61,61.51,-65.8,38.95,19.27,0.4,9.47,0.73,-0.04,0.06,0.03,9.36,2.64,3.27,-0.05,0.01,0
91,56,-4,13,33,-2.44,85.77,59.96,-65.73,38.28,19.49,0.4,9.29,0.69,-0.04,0.05,0.03,9.3,2.6,3.29,-0.05,0,-0.02
91,56,10,4,37,-2.72,84.88,61.95,-66.64,38.48,18.68,0.45,9.38,0.84,-0.01,0.05,0.03,9.42,2.53,3.18,-0.05,0.04,-0.03
91,56,20,6,27,-2.84,84.67,61.91,-66.35,38.81,18.85,0.47,9.52,0.89,-0.03,0.04,0.05,9.39,2.58,3.21,-0.06,-0.02,-0.03
91,56,32,24,24,-3.11,85.86,53,-66.18,38.79,18.99,0.51,9.39,0.68,-0.03,0.03,0.05,9.47,2.62,3.26,-0.06,-0.02,-0.04
91,56,28,27,31,-2.89,84.26,63.26,-66.61,37.8,18.87,0.48,9.55,0.96,-0.04,0.04,0.05,9.49,2.52,3.24,-0.06,-0.03,-0.02
91,56,38,31,27,-1.49,85.07,73.21,-65.85,37.06,19.69,0.24,9.39,0.81,-0.04,0.03,0.06,9.43,2.55,3.37,-0.06,-0.03,-0.03
91,56,42,49,42,-1.19,84.89,76.91,-65.67,36.07,20.07,0.2,9.57,0.85,-0.05,0.01,0.05,9.45,2.52,3.45,-0.08,-0.03,-0.02
91,56,38,56,31,-1.48,85.79,70.62,-65.05,36.9,20.41,0.24,9.43,0.69,-0.07,0.01,0.04,9.35,2.61,3.48,-0.1,-0.03,-0.01
91,56,32,42,37,-1.88,85.19,68.64,-65.92,36.62,19.74,0.31,9.53,0.8,-0.07,-0.01,0.04,9.54,2.54,3.42,-0.11,-0.04,-0.02
91,56,38,56,31,-1.65,85.52,69.71,-65.75,38.49,19.42,0.28,9.51,0.74,-0.08,-0.01,0.03,9.42,2.64,3.32,-0.13,-0.02,0
91,56,34,29,1,-3.32,86.28,48.2,-65.91,40.88,18.68,0.55,9.4,0.61,-0.07,-0.03,0.02,9.32,2.73,3.15,-0.14,-0.02,0
91,56,52,49,9,-4.34,85.57,45.48,-66.56,41.99,17.87,0.71,9.36,0.73,-0.06,-0.02,0.02,9.28,2.69,2.99,-0.12,-0.02,-0.01
91,56,70,49,28,-4.61,85.73,42.74,-66.64,41.3,17.98,0.76,9.36,0.7,-0.06,-0.01,0.05,9.41,2.68,3.06,-0.09,-0.05,-0.03
91,56,80,42,21,-3.5,85.91,49.4,-66.21,40.58,18.51,0.57,9.37,0.67,-0.04,0.01,0.04,9.47,2.72,3.17,-0.08,0,-0.01
91,56,68,56,43,-3.78,85.57,49.49,-66.16,40.69,18.52,0.62,9.33,0.72,-0.05,0.01,0.03,9.22,2.66,3.09,-0.09,-0.02,-0.02
91,56,68,78,72,-3.82,86.41,43.17,-65.89,40.69,18.74,0.62,9.24,0.58,-0.03,0.03,0.06,9.31,2.72,3.16,-0.06,-0.04,-0.05
91,56,62,60,55,-2.6,85.7,58.76,-65.98,39.36,19.01,0.44,9.56,0.72,-0.02,0.03,0.06,9.48,2.68,3.27,-0.06,-0.03,-0.05
91,56,50,20,55,-2.94,85.85,54.63,-65.68,39.3,19.28,0.49,9.43,0.68,-0.06,0.05,0.03,9.43,2.7,3.3,-0.08,-0.02,-0.03
91,56,36,27,57,-2.89,86.16,52.92,-66,39.66,18.91,0.47,9.35,0.63,-0.03,0.03,0.05,9.4,2.67,3.22,-0.07,-0.02,-0.05
91,56,34,0,42,-2.97,85.02,59.13,-66.4,38.98,18.76,0.5,9.56,0.83,-0.03,0.02,0.05,9.53,2.62,3.24,-0.06,-0.02,-0.03
91,56,42,-2,57,-3.51,85.24,53.58,-66.28,39.08,18.83,0.58,9.42,0.79,-0.05,0.02,0.04,9.45,2.62,3.22,-0.07,-0.01,-0.01
91,56,34,-22,57,-3.24,85.33,55.16,-66.29,38.86,18.88,0.53,9.36,0.76,-0.04,0.05,0.04,9.41,2.59,3.22,-0.06,-0.01,-0.02
91,56,36,15,52,-2.5,85.26,62.12,-66.22,39.31,18.83,0.41,9.44,0.78,-0.04,0.04,0.05,9.37,2.62,3.2,-0.06,-0.02,-0.03
91,56,38,27,54,-3.16,85.77,53.19,-66.1,39.11,18.98,0.52,9.39,0.69,-0.03,0.04,0.05,9.45,2.64,3.25,-0.06,-0.02,-0.03
91,56,62,22,49,-2.15,85.35,65.16,-66.05,38.7,19.12,0.36,9.55,0.78,-0.05,0.03,0.05,9.52,2.64,3.3,-0.06,-0.02,-0.01
91,56,34,22,40,-3.07,85.46,55.93,-66.11,39.04,18.99,0.51,9.49,0.75,-0.07,0.02,0.04,9.46,2.64,3.25,-0.07,-0.03,0
91,56,26,40,39,-3.3,85.86,51.39,-65.95,40.04,18.86,0.54,9.36,0.68,-0.05,0.05,0.04,9.31,2.67,3.18,-0.07,-0.01,-0.02
91,56,34,22,16,-2.85,84.93,60.63,-66.65,38.7,18.62,0.47,9.44,0.84,-0.04,0.01,0.04,9.46,2.55,3.19,-0.07,-0.03,-0.03
91,56,24,2,13,-3.43,85.12,54.84,-66.36,39.21,18.74,0.57,9.39,0.8,-0.05,0.03,0.04,9.39,2.6,3.18,-0.07,0,0
91,56,2,15,6,-2.75,85.06,60.87,-66.48,38.54,18.8,0.45,9.45,0.82,-0.07,0.02,0.04,9.47,2.57,3.22,-0.07,-0.01,0.01
91,56,8,6,28,-2.99,86.3,51.06,-65.74,39.71,19.12,0.48,9.25,0.6,-0.05,0.02,0.03,9.21,2.65,3.19,-0.08,-0.03,-0.02
91,56,6,31,22,-2.9,85.18,58.86,-66.63,38.93,18.58,0.48,9.41,0.79,-0.03,0.01,0.03,9.48,2.57,3.19,-0.08,-0.02,-0.03
